id, part_id, location, qty
1,38,W9,1
2,11,M4,2
3,32,H6,2
4,46,A1,1
5,2,C2,3
6,44,J4,3
7,47,O1,1
8,46,F9,3
9,44,I8,2
10,22,I0,3
11,6,Z0,3
12,50,A4,1
13,3,Q9,2
14,8,H6,2
15,4,P6,2
16,50,B7,1
17,13,X0,1
18,2,I9,2
19,12,F2,3
20,8,I5,2
21,53,D9,2
22,53,L1,3
23,1,X9,2
24,14,H2,2
25,4,V5,2
26,31,Z3,2
27,50,S6,2
28,49,U8,2
29,45,U1,1
30,12,N5,2
31,45,I4,1
32,46,A7,2
33,15,V9,2
34,39,T3,2
35,54,U0,1
36,0,P0,1
37,44,Z9,1
38,1,Q0,3
39,29,W9,1
40,4,C6,1
41,22,H0,2
42,6,W6,1
43,29,Z5,2
44,13,H6,3
45,33,X3,3
46,48,O9,2
47,25,W5,3
48,10,P9,2
49,14,F6,2
50,24,U8,1
51,7,W8,1
52,18,H6,2
53,41,Q8,3
54,36,N1,3
55,11,Y4,1
56,25,J6,3
57,8,P0,3
58,47,E4,2
59,8,U5,2
60,44,M8,3
61,35,B6,1
62,3,E7,2
63,30,A9,1
64,48,Y0,2
65,34,H4,3
66,18,N4,1
67,25,U9,2
68,39,T7,1
69,23,P4,1
70,26,C5,1
71,28,C8,3
72,19,Y7,1
73,44,E4,1
74,40,B3,3
75,6,H5,1
76,11,A0,2
77,39,Z8,3
78,27,K1,3
79,8,M9,3
80,39,O7,2
81,54,O2,2
82,8,W4,1
83,44,Z3,1
84,10,O0,1
85,7,L4,2
86,1,R9,3
87,44,F5,3
88,23,B6,1
89,42,X5,1
90,21,P0,1
91,45,S1,2
92,48,L7,3
93,8,I8,1
94,19,P2,2
95,8,W9,1
96,24,X6,3
97,7,P9,3
98,53,R4,3
99,10,N6,1
100,33,K5,2
